Name,Generation,Legendary,Total,Sp. Atk,Sp. Def,Defense,Attack,HP,Speed,Type 1
Koffing,1,0,340,60,45,95,65,40,35,6
Weezing,1,0,490,85,70,120,90,65,60,6
Rhyhorn,1,0,345,30,30,95,85,80,25,7
Rhydon,1,0,485,45,45,120,130,105,40,7
Chansey,1,0,450,35,105,5,5,250,50,0
Tangela,1,0,435,100,40,115,55,65,60,1
Kangaskhan,1,0,490,40,80,80,95,105,90,0
KangaskhanMega Kangaskhan,1,0,590,60,100,100,125,105,100,0
Horsea,1,0,295,70,25,70,40,30,60,3
Seadra,1,0,440,95,45,95,65,55,85,3
Goldeen,1,0,320,35,50,60,67,45,63,3
Seaking,1,0,450,65,80,65,92,80,68,3
Staryu,1,0,340,70,55,55,45,30,85,3
Starmie,1,0,520,100,85,85,75,60,115,3
Mr. Mime,1,0,460,100,120,65,45,40,90,12
Scyther,1,0,500,55,80,80,110,70,105,9
Jynx,1,0,455,115,95,35,50,65,95,13
Electabuzz,1,0,490,95,85,57,83,65,105,11
Magmar,1,0,495,100,85,57,95,65,93,2
Pinsir,1,0,500,55,70,100,125,65,85,9
PinsirMega Pinsir,1,0,600,65,90,120,155,65,105,9
Tauros,1,0,490,40,70,95,100,75,110,0
Magikarp,1,0,200,15,20,55,10,20,80,3
Gyarados,1,0,540,60,100,79,125,95,81,3
GyaradosMega Gyarados,1,0,640,70,130,109,155,95,81,3
Lapras,1,0,535,85,95,80,85,130,60,3
Ditto,1,0,288,48,48,48,48,48,48,0
Eevee,1,0,325,45,65,50,55,55,55,0
Vaporeon,1,0,525,110,95,60,65,130,65,3
Jolteon,1,0,525,110,95,60,65,65,130,11
Flareon,1,0,525,95,110,60,130,65,65,2
Porygon,1,0,395,85,75,70,60,65,40,0
Omanyte,1,0,355,90,55,100,40,35,35,8
Omastar,1,0,495,115,70,125,60,70,55,8
Kabuto,1,0,355,55,45,90,80,30,55,8
Kabutops,1,0,495,65,70,105,115,60,80,8
Aerodactyl,1,0,515,60,75,65,105,80,130,8
AerodactylMega Aerodactyl,1,0,615,70,95,85,135,80,150,8
Snorlax,1,0,540,65,110,65,110,160,30,0
Articuno,1,1,580,95,125,100,85,90,85,13
Zapdos,1,1,580,125,90,85,90,90,100,11
Moltres,1,1,580,125,85,90,100,90,90,2
Dratini,1,0,300,50,50,45,64,41,50,14
Dragonair,1,0,420,70,70,65,84,61,70,14
Dragonite,1,0,600,100,100,95,134,91,80,14
Mewtwo,1,1,680,154,90,90,110,106,130,12
MewtwoMega Mewtwo X,1,1,780,154,100,100,190,106,130,12
MewtwoMega Mewtwo Y,1,1,780,194,120,70,150,106,140,12
Mew,1,0,600,100,100,100,100,100,100,12
Chikorita,2,0,318,49,65,65,49,45,45,1
Bayleef,2,0,405,63,80,80,62,60,60,1
Meganium,2,0,525,83,100,100,82,80,80,1
Cyndaquil,2,0,309,60,50,43,52,39,65,2
Quilava,2,0,405,80,65,58,64,58,80,2
Typhlosion,2,0,534,109,85,78,84,78,100,2
Totodile,2,0,314,44,48,64,65,50,43,3
Croconaw,2,0,405,59,63,80,80,65,58,3
Feraligatr,2,0,530,79,83,100,105,85,78,3
Sentret,2,0,215,35,45,34,46,35,20,0
Furret,2,0,415,45,55,64,76,85,90,0
Hoothoot,2,0,262,36,56,30,30,60,50,0
Noctowl,2,0,442,76,96,50,50,100,70,0
Ledyba,2,0,265,40,80,30,20,40,55,9
Ledian,2,0,390,55,110,50,35,55,85,9
Spinarak,2,0,250,40,40,40,60,40,30,9
Ariados,2,0,390,60,60,70,90,70,40,9
Crobat,2,0,535,70,80,80,90,85,130,6
Chinchou,2,0,330,56,56,38,38,75,67,3
Lanturn,2,0,460,76,76,58,58,125,67,3
Pichu,2,0,205,35,35,15,40,20,60,11
Cleffa,2,0,218,45,55,28,25,50,15,17
Igglybuff,2,0,210,40,20,15,30,90,15,0
Togepi,2,0,245,40,65,65,20,35,20,17
Togetic,2,0,405,80,105,85,40,55,40,17
Natu,2,0,320,70,45,45,50,40,70,12
Xatu,2,0,470,95,70,70,75,65,95,12
Mareep,2,0,280,65,45,40,40,55,35,11
Flaaffy,2,0,365,80,60,55,55,70,45,11
Ampharos,2,0,510,115,90,85,75,90,55,11
AmpharosMega Ampharos,2,0,610,165,110,105,95,90,45,11
Bellossom,2,0,490,90,100,95,80,75,50,1
Marill,2,0,250,20,50,50,20,70,40,3
Azumarill,2,0,420,60,80,80,50,100,50,3
Sudowoodo,2,0,410,30,65,115,100,70,30,8
Politoed,2,0,500,90,100,75,75,90,70,3
Hoppip,2,0,250,35,55,40,35,35,50,1
Skiploom,2,0,340,45,65,50,45,55,80,1
Jumpluff,2,0,460,55,95,70,55,75,110,1
Aipom,2,0,360,40,55,55,70,55,85,0
Sunkern,2,0,180,30,30,30,30,30,30,1
Sunflora,2,0,425,105,85,55,75,75,30,1
Yanma,2,0,390,75,45,45,65,65,95,9
Wooper,2,0,210,25,25,45,45,55,15,3
Quagsire,2,0,430,65,65,85,85,95,35,3
Espeon,2,0,525,130,95,60,65,65,110,12
Umbreon,2,0,525,60,130,110,65,95,65,15
Murkrow,2,0,405,85,42,42,85,60,91,15
Slowking,2,0,490,100,110,80,75,95,30,3
Misdreavus,2,0,435,85,85,60,60,60,85,10
Unown,2,0,336,72,48,48,72,48,48,12
Wobbuffet,2,0,405,33,58,58,33,190,33,12
Girafarig,2,0,455,90,65,65,80,70,85,0
Pineco,2,0,290,35,35,90,65,50,15,9
Forretress,2,0,465,60,60,140,90,75,40,9
Dunsparce,2,0,415,65,65,70,70,100,45,0
Gligar,2,0,430,35,65,105,75,65,85,7
Steelix,2,0,510,55,65,200,85,75,30,16
SteelixMega Steelix,2,0,610,55,95,230,125,75,30,16
Snubbull,2,0,300,40,40,50,80,60,30,17
Granbull,2,0,450,60,60,75,120,90,45,17
Qwilfish,2,0,430,55,55,75,95,65,85,3
Scizor,2,0,500,55,80,100,130,70,65,9
ScizorMega Scizor,2,0,600,65,100,140,150,70,75,9
Shuckle,2,0,505,10,230,230,10,20,5,9
Heracross,2,0,500,40,95,75,125,80,85,9
HeracrossMega Heracross,2,0,600,40,105,115,185,80,75,9
Sneasel,2,0,430,35,75,55,95,55,115,15
Teddiursa,2,0,330,50,50,50,80,60,40,0
Ursaring,2,0,500,75,75,75,130,90,55,0
Slugma,2,0,250,70,40,40,40,40,20,2
Magcargo,2,0,410,80,80,120,50,50,30,2
Swinub,2,0,250,30,30,40,50,50,50,13
Piloswine,2,0,450,60,60,80,100,100,50,13
Corsola,2,0,380,65,85,85,55,55,35,3
Remoraid,2,0,300,65,35,35,65,35,65,3
Octillery,2,0,480,105,75,75,105,75,45,3
Delibird,2,0,330,65,45,45,55,45,75,13
Mantine,2,0,465,80,140,70,40,65,70,3
Skarmory,2,0,465,40,70,140,80,65,70,16
Houndour,2,0,330,80,50,30,60,45,65,15
Houndoom,2,0,500,110,80,50,90,75,95,15
HoundoomMega Houndoom,2,0,600,140,90,90,90,75,115,15
Kingdra,2,0,540,95,95,95,95,75,85,3
Phanpy,2,0,330,40,40,60,60,90,40,7
Donphan,2,0,500,60,60,120,120,90,50,7
Porygon2,2,0,515,105,95,90,80,85,60,0
Stantler,2,0,465,85,65,62,95,73,85,0
Smeargle,2,0,250,20,45,35,20,55,75,0
Tyrogue,2,0,210,35,35,35,35,35,35,4
Hitmontop,2,0,455,35,110,95,95,50,70,4
Smoochum,2,0,305,85,65,15,30,45,65,13
Elekid,2,0,360,65,55,37,63,45,95,11
Magby,2,0,365,70,55,37,75,45,83,2
Miltank,2,0,490,40,70,105,80,95,100,0
Blissey,2,0,540,75,135,10,10,255,55,0
Raikou,2,1,580,115,100,75,85,90,115,11
Entei,2,1,580,90,75,85,115,115,100,2
Suicune,2,1,580,90,115,115,75,100,85,3
Larvitar,2,0,300,45,50,50,64,50,41,8
Pupitar,2,0,410,65,70,70,84,70,51,8
Tyranitar,2,0,600,95,100,110,134,100,61,8
TyranitarMega Tyranitar,2,0,700,95,120,150,164,100,71,8
Lugia,2,1,680,90,154,130,90,106,110,12
Ho-oh,2,1,680,110,154,90,130,106,90,2
Celebi,2,0,600,100,100,100,100,100,100,12
Treecko,3,0,310,65,55,35,45,40,70,1
Grovyle,3,0,405,85,65,45,65,50,95,1
Sceptile,3,0,530,105,85,65,85,70,120,1
SceptileMega Sceptile,3,0,630,145,85,75,110,70,145,1
Torchic,3,0,310,70,50,40,60,45,45,2
Combusken,3,0,405,85,60,60,85,60,55,2
Blaziken,3,0,530,110,70,70,120,80,80,2
BlazikenMega Blaziken,3,0,630,130,80,80,160,80,100,2
Mudkip,3,0,310,50,50,50,70,50,40,3
Marshtomp,3,0,405,60,70,70,85,70,50,3
Swampert,3,0,535,85,90,90,110,100,60,3
SwampertMega Swampert,3,0,635,95,110,110,150,100,70,3
Poochyena,3,0,220,30,30,35,55,35,35,15
Mightyena,3,0,420,60,60,70,90,70,70,15
Zigzagoon,3,0,240,30,41,41,30,38,60,0
Linoone,3,0,420,50,61,61,70,78,100,0
Wurmple,3,0,195,20,30,35,45,45,20,9
Silcoon,3,0,205,25,25,55,35,50,15,9
Beautifly,3,0,395,100,50,50,70,60,65,9
Cascoon,3,0,205,25,25,55,35,50,15,9
Dustox,3,0,385,50,90,70,50,60,65,9
Lotad,3,0,220,40,50,30,30,40,30,3
Lombre,3,0,340,60,70,50,50,60,50,3
Ludicolo,3,0,480,90,100,70,70,80,70,3
Seedot,3,0,220,30,30,50,40,40,30,1
Nuzleaf,3,0,340,60,40,40,70,70,60,1
Shiftry,3,0,480,90,60,60,100,90,80,1
Taillow,3,0,270,30,30,30,55,40,85,0
Swellow,3,0,430,50,50,60,85,60,125,0
Wingull,3,0,270,55,30,30,30,40,85,3
Pelipper,3,0,430,85,70,100,50,60,65,3
Ralts,3,0,198,45,35,25,25,28,40,12
Kirlia,3,0,278,65,55,35,35,38,50,12
Gardevoir,3,0,518,125,115,65,65,68,80,12
GardevoirMega Gardevoir,3,0,618,165,135,65,85,68,100,12
Surskit,3,0,269,50,52,32,30,40,65,9
Masquerain,3,0,414,80,82,62,60,70,60,9
Shroomish,3,0,295,40,60,60,40,60,35,1
Breloom,3,0,460,60,60,80,130,60,70,1
Slakoth,3,0,280,35,35,60,60,60,30,0
Vigoroth,3,0,440,55,55,80,80,80,90,0
Slaking,3,0,670,95,65,100,160,150,100,0
Nincada,3,0,266,30,30,90,45,31,40,9
Ninjask,3,0,456,50,50,45,90,61,160,9
Shedinja,3,0,236,30,30,45,90,1,40,9
Whismur,3,0,240,51,23,23,51,64,28,0
Loudred,3,0,360,71,43,43,71,84,48,0
Exploud,3,0,490,91,73,63,91,104,68,0
Makuhita,3,0,237,20,30,30,60,72,25,4
Hariyama,3,0,474,40,60,60,120,144,50,4
Azurill,3,0,190,20,40,40,20,50,20,0
Nosepass,3,0,375,45,90,135,45,30,30,8
Skitty,3,0,260,35,35,45,45,50,50,0
Delcatty,3,0,380,55,55,65,65,70,70,0
Sableye,3,0,380,65,65,75,75,50,50,15
SableyeMega Sableye,3,0,480,85,115,125,85,50,20,15
Mawile,3,0,380,55,55,85,85,50,50,16
MawileMega Mawile,3,0,480,55,95,125,105,50,50,16
Aron,3,0,330,40,40,100,70,50,30,16
Lairon,3,0,430,50,50,140,90,60,40,16
Aggron,3,0,530,60,60,180,110,70,50,16
AggronMega Aggron,3,0,630,60,80,230,140,70,50,16
Meditite,3,0,280,40,55,55,40,30,60,4
Medicham,3,0,410,60,75,75,60,60,80,4
MedichamMega Medicham,3,0,510,80,85,85,100,60,100,4
Electrike,3,0,295,65,40,40,45,40,65,11
Manectric,3,0,475,105,60,60,75,70,105,11
ManectricMega Manectric,3,0,575,135,80,80,75,70,135,11
Plusle,3,0,405,85,75,40,50,60,95,11
Minun,3,0,405,75,85,50,40,60,95,11
Volbeat,3,0,400,47,75,55,73,65,85,9
Illumise,3,0,400,73,75,55,47,65,85,9
Roselia,3,0,400,100,80,45,60,50,65,1
Gulpin,3,0,302,43,53,53,43,70,40,6
Swalot,3,0,467,73,83,83,73,100,55,6
Carvanha,3,0,305,65,20,20,90,45,65,3
Sharpedo,3,0,460,95,40,40,120,70,95,3
SharpedoMega Sharpedo,3,0,560,110,65,70,140,70,105,3
Wailmer,3,0,400,70,35,35,70,130,60,3
Wailord,3,0,500,90,45,45,90,170,60,3
Numel,3,0,305,65,45,40,60,60,35,2
Camerupt,3,0,460,105,75,70,100,70,40,2
CameruptMega Camerupt,3,0,560,145,105,100,120,70,20,2
Torkoal,3,0,470,85,70,140,85,70,20,2
Spoink,3,0,330,70,80,35,25,60,60,12
Grumpig,3,0,470,90,110,65,45,80,80,12
Spinda,3,0,360,60,60,60,60,60,60,0
Trapinch,3,0,290,45,45,45,100,45,10,7
Vibrava,3,0,340,50,50,50,70,50,70,7
Flygon,3,0,520,80,80,80,100,80,100,7
Cacnea,3,0,335,85,40,40,85,50,35,1
Cacturne,3,0,475,115,60,60,115,70,55,1
Swablu,3,0,310,40,75,60,40,45,50,0
Altaria,3,0,490,70,105,90,70,75,80,14
AltariaMega Altaria,3,0,590,110,105,110,110,75,80,14
Zangoose,3,0,458,60,60,60,115,73,90,0
Seviper,3,0,458,100,60,60,100,73,65,6
Lunatone,3,0,440,95,85,65,55,70,70,8
Solrock,3,0,440,55,65,85,95,70,70,8
Barboach,3,0,288,46,41,43,48,50,60,3
Whiscash,3,0,468,76,71,73,78,110,60,3
Corphish,3,0,308,50,35,65,80,43,35,3
Crawdaunt,3,0,468,90,55,85,120,63,55,3
Baltoy,3,0,300,40,70,55,40,40,55,7
Claydol,3,0,500,70,120,105,70,60,75,7
Lileep,3,0,355,61,87,77,41,66,23,8
Cradily,3,0,495,81,107,97,81,86,43,8
Anorith,3,0,355,40,50,50,95,45,75,8
Armaldo,3,0,495,70,80,100,125,75,45,8
Feebas,3,0,200,10,55,20,15,20,80,3
Milotic,3,0,540,100,125,79,60,95,81,3
Castform,3,0,420,70,70,70,70,70,70,0
Kecleon,3,0,440,60,120,70,90,60,40,0
Shuppet,3,0,295,63,33,35,75,44,45,10
Banette,3,0,455,83,63,65,115,64,65,10
BanetteMega Banette,3,0,555,93,83,75,165,64,75,10
Duskull,3,0,295,30,90,90,40,20,25,10
Dusclops,3,0,455,60,130,130,70,40,25,10
Tropius,3,0,460,72,87,83,68,99,51,1
Chimecho,3,0,425,95,80,70,50,65,65,12
Absol,3,0,465,75,60,60,130,65,75,15
AbsolMega Absol,3,0,565,115,60,60,150,65,115,15
Wynaut,3,0,260,23,48,48,23,95,23,12
Snorunt,3,0,300,50,50,50,50,50,50,13
Glalie,3,0,480,80,80,80,80,80,80,13
GlalieMega Glalie,3,0,580,120,80,80,120,80,100,13
Spheal,3,0,290,55,50,50,40,70,25,13
Sealeo,3,0,410,75,70,70,60,90,45,13
Walrein,3,0,530,95,90,90,80,110,65,13
Clamperl,3,0,345,74,55,85,64,35,32,3
Huntail,3,0,485,94,75,105,104,55,52,3
Gorebyss,3,0,485,114,75,105,84,55,52,3
Relicanth,3,0,485,45,65,130,90,100,55,3
Luvdisc,3,0,330,40,65,55,30,43,97,3
Bagon,3,0,300,40,30,60,75,45,50,14
Shelgon,3,0,420,60,50,100,95,65,50,14
Salamence,3,0,600,110,80,80,135,95,100,14
SalamenceMega Salamence,3,0,700,120,90,130,145,95,120,14
Beldum,3,0,300,35,60,80,55,40,30,16
Metang,3,0,420,55,80,100,75,60,50,16
Metagross,3,0,600,95,90,130,135,80,70,16
MetagrossMega Metagross,3,0,700,105,110,150,145,80,110,16
Regirock,3,1,580,50,100,200,100,80,50,8
Regice,3,1,580,100,200,100,50,80,50,13
Registeel,3,1,580,75,150,150,75,80,50,16
Latias,3,1,600,110,130,90,80,80,110,14
LatiasMega Latias,3,1,700,140,150,120,100,80,110,14
Latios,3,1,600,130,110,80,90,80,110,14
LatiosMega Latios,3,1,700,160,120,100,130,80,110,14
Kyogre,3,1,670,150,140,90,100,100,90,3
KyogrePrimal Kyogre,3,1,770,180,160,90,150,100,90,3
Groudon,3,1,670,100,90,140,150,100,90,7
GroudonPrimal Groudon,3,1,770,150,90,160,180,100,90,7
Rayquaza,3,1,680,150,90,90,150,105,95,14
RayquazaMega Rayquaza,3,1,780,180,100,100,180,105,115,14
Jirachi,3,1,600,100,100,100,100,100,100,16
DeoxysNormal Forme,3,1,600,150,50,50,150,50,150,12
DeoxysAttack Forme,3,1,600,180,20,20,180,50,150,12
DeoxysDefense Forme,3,1,600,70,160,160,70,50,90,12
DeoxysSpeed Forme,3,1,600,95,90,90,95,50,180,12
Turtwig,4,0,318,45,55,64,68,55,31,1
Grotle,4,0,405,55,65,85,89,75,36,1
Torterra,4,0,525,75,85,105,109,95,56,1
Chimchar,4,0,309,58,44,44,58,44,61,2
Monferno,4,0,405,78,52,52,78,64,81,2
Infernape,4,0,534,104,71,71,104,76,108,2
Piplup,4,0,314,61,56,53,51,53,40,3
Prinplup,4,0,405,81,76,68,66,64,50,3
Empoleon,4,0,530,111,101,88,86,84,60,3
Starly,4,0,245,30,30,30,55,40,60,0
Staravia,4,0,340,40,40,50,75,55,80,0
Staraptor,4,0,485,50,60,70,120,85,100,0
Bidoof,4,0,250,35,40,40,45,59,31,0
Bibarel,4,0,410,55,60,60,85,79,71,0
Kricketot,4,0,194,25,41,41,25,37,25,9
Kricketune,4,0,384,55,51,51,85,77,65,9
Shinx,4,0,263,40,34,34,65,45,45,11
Luxio,4,0,363,60,49,49,85,60,60,11
Luxray,4,0,523,95,79,79,120,80,70,11
Budew,4,0,280,50,70,35,30,40,55,1
Roserade,4,0,515,125,105,65,70,60,90,1
Cranidos,4,0,350,30,30,40,125,67,58,8
Rampardos,4,0,495,65,50,60,165,97,58,8
Shieldon,4,0,350,42,88,118,42,30,30,8
Bastiodon,4,0,495,47,138,168,52,60,30,8
Burmy,4,0,224,29,45,45,29,40,36,9
WormadamPlant Cloak,4,0,424,79,105,85,59,60,36,9
WormadamSandy Cloak,4,0,424,59,85,105,79,60,36,9
WormadamTrash Cloak,4,0,424,69,95,95,69,60,36,9
Mothim,4,0,424,94,50,50,94,70,66,9
Combee,4,0,244,30,42,42,30,30,70,9
Vespiquen,4,0,474,80,102,102,80,70,40,9
Pachirisu,4,0,405,45,90,70,45,60,95,11
Buizel,4,0,330,60,30,35,65,55,85,3
Floatzel,4,0,495,85,50,55,105,85,115,3
Cherubi,4,0,275,62,53,45,35,45,35,1
Cherrim,4,0,450,87,78,70,60,70,85,1
Shellos,4,0,325,57,62,48,48,76,34,3
Gastrodon,4,0,475,92,82,68,83,111,39,3
Ambipom,4,0,482,60,66,66,100,75,115,0
Drifloon,4,0,348,60,44,34,50,90,70,10
Drifblim,4,0,498,90,54,44,80,150,80,10
Buneary,4,0,350,44,56,44,66,55,85,0
Lopunny,4,0,480,54,96,84,76,65,105,0
LopunnyMega Lopunny,4,0,580,54,96,94,136,65,135,0
Mismagius,4,0,495,105,105,60,60,60,105,10
Honchkrow,4,0,505,105,52,52,125,100,71,15
Glameow,4,0,310,42,37,42,55,49,85,0
Purugly,4,0,452,64,59,64,82,71,112,0
Chingling,4,0,285,65,50,50,30,45,45,12
Stunky,4,0,329,41,41,47,63,63,74,6
Skuntank,4,0,479,71,61,67,93,103,84,6
Bronzor,4,0,300,24,86,86,24,57,23,16
Bronzong,4,0,500,79,116,116,89,67,33,16
Bonsly,4,0,290,10,45,95,80,50,10,8
Mime Jr.,4,0,310,70,90,45,25,20,60,12
Happiny,4,0,220,15,65,5,5,100,30,0
Chatot,4,0,411,92,42,45,65,76,91,0
Spiritomb,4,0,485,92,108,108,92,50,35,10
Gible,4,0,300,40,45,45,70,58,42,14
Gabite,4,0,410,50,55,65,90,68,82,14
Garchomp,4,0,600,80,85,95,130,108,102,14
GarchompMega Garchomp,4,0,700,120,95,115,170,108,92,14
Munchlax,4,0,390,40,85,40,85,135,5,0
Riolu,4,0,285,35,40,40,70,40,60,4
Lucario,4,0,525,115,70,70,110,70,90,4
LucarioMega Lucario,4,0,625,140,70,88,145,70,112,4
Hippopotas,4,0,330,38,42,78,72,68,32,7
Hippowdon,4,0,525,68,72,118,112,108,47,7
Skorupi,4,0,330,30,55,90,50,40,65,6
Drapion,4,0,500,60,75,110,90,70,95,6
Croagunk,4,0,300,61,40,40,61,48,50,6
Toxicroak,4,0,490,86,65,65,106,83,85,6
Carnivine,4,0,454,90,72,72,100,74,46,1
Finneon,4,0,330,49,61,56,49,49,66,3
Lumineon,4,0,460,69,86,76,69,69,91,3
Mantyke,4,0,345,60,120,50,20,45,50,3
Snover,4,0,334,62,60,50,62,60,40,1
Abomasnow,4,0,494,92,85,75,92,90,60,1
AbomasnowMega Abomasnow,4,0,594,132,105,105,132,90,30,1
Weavile,4,0,510,45,85,65,120,70,125,15
Magnezone,4,0,535,130,90,115,70,70,60,11
Lickilicky,4,0,515,80,95,95,85,110,50,0
Rhyperior,4,0,535,55,55,130,140,115,40,7
Tangrowth,4,0,535,110,50,125,100,100,50,1
Electivire,4,0,540,95,85,67,123,75,95,11
Magmortar,4,0,540,125,95,67,95,75,83,2
Togekiss,4,0,545,120,115,95,50,85,80,17
Yanmega,4,0,515,116,56,86,76,86,95,9
Leafeon,4,0,525,60,65,130,110,65,95,1
Glaceon,4,0,525,130,95,110,60,65,65,13
Gliscor,4,0,510,45,75,125,95,75,95,7
Mamoswine,4,0,530,70,60,80,130,110,80,13
Porygon-Z,4,0,535,135,75,70,80,85,90,0
Gallade,4,0,518,65,115,65,125,68,80,12
GalladeMega Gallade,4,0,618,65,115,95,165,68,110,12
Probopass,4,0,525,75,150,145,55,60,40,8
Dusknoir,4,0,525,65,135,135,100,45,45,10
Froslass,4,0,480,80,70,70,80,70,110,13
