Generation,Legendary,Total,Sp. Atk,Sp. Def,Defense,Attack,HP,Speed,Type 1
1,0,640,70,130,109,155,95,81,3
1,0,535,85,95,80,85,130,60,3
1,0,288,48,48,48,48,48,48,0
1,0,325,45,65,50,55,55,55,0
1,0,525,110,95,60,65,130,65,3
1,0,525,110,95,60,65,65,130,11
1,0,525,95,110,60,130,65,65,2
1,0,395,85,75,70,60,65,40,0
1,0,355,90,55,100,40,35,35,8
1,0,495,115,70,125,60,70,55,8
1,0,355,55,45,90,80,30,55,8
1,0,495,65,70,105,115,60,80,8
1,0,515,60,75,65,105,80,130,8
1,0,615,70,95,85,135,80,150,8
1,0,540,65,110,65,110,160,30,0
1,1,580,95,125,100,85,90,85,13
1,1,580,125,90,85,90,90,100,11
1,1,580,125,85,90,100,90,90,2
1,0,300,50,50,45,64,41,50,14
1,0,420,70,70,65,84,61,70,14
1,0,600,100,100,95,134,91,80,14
1,1,680,154,90,90,110,106,130,12
1,1,780,154,100,100,190,106,130,12
1,1,780,194,120,70,150,106,140,12
1,0,600,100,100,100,100,100,100,12
2,0,318,49,65,65,49,45,45,1
2,0,405,63,80,80,62,60,60,1
2,0,525,83,100,100,82,80,80,1
2,0,309,60,50,43,52,39,65,2
2,0,405,80,65,58,64,58,80,2
2,0,534,109,85,78,84,78,100,2
2,0,314,44,48,64,65,50,43,3
2,0,405,59,63,80,80,65,58,3
2,0,530,79,83,100,105,85,78,3
2,0,215,35,45,34,46,35,20,0
2,0,415,45,55,64,76,85,90,0
2,0,262,36,56,30,30,60,50,0
2,0,442,76,96,50,50,100,70,0
2,0,265,40,80,30,20,40,55,9
2,0,390,55,110,50,35,55,85,9
2,0,250,40,40,40,60,40,30,9
2,0,390,60,60,70,90,70,40,9
2,0,535,70,80,80,90,85,130,6
2,0,330,56,56,38,38,75,67,3
2,0,460,76,76,58,58,125,67,3
2,0,205,35,35,15,40,20,60,11
2,0,218,45,55,28,25,50,15,17
2,0,210,40,20,15,30,90,15,0
2,0,245,40,65,65,20,35,20,17
2,0,405,80,105,85,40,55,40,17
2,0,320,70,45,45,50,40,70,12
2,0,470,95,70,70,75,65,95,12
2,0,280,65,45,40,40,55,35,11
2,0,365,80,60,55,55,70,45,11
2,0,510,115,90,85,75,90,55,11
2,0,610,165,110,105,95,90,45,11
2,0,490,90,100,95,80,75,50,1
2,0,250,20,50,50,20,70,40,3
2,0,420,60,80,80,50,100,50,3
2,0,410,30,65,115,100,70,30,8
2,0,500,90,100,75,75,90,70,3
2,0,250,35,55,40,35,35,50,1
2,0,340,45,65,50,45,55,80,1
2,0,460,55,95,70,55,75,110,1
2,0,360,40,55,55,70,55,85,0
2,0,180,30,30,30,30,30,30,1
2,0,425,105,85,55,75,75,30,1
2,0,390,75,45,45,65,65,95,9
2,0,210,25,25,45,45,55,15,3
2,0,430,65,65,85,85,95,35,3
2,0,525,130,95,60,65,65,110,12
2,0,525,60,130,110,65,95,65,15
2,0,405,85,42,42,85,60,91,15
2,0,490,100,110,80,75,95,30,3
2,0,435,85,85,60,60,60,85,10
2,0,336,72,48,48,72,48,48,12
2,0,405,33,58,58,33,190,33,12
2,0,455,90,65,65,80,70,85,0
2,0,290,35,35,90,65,50,15,9
2,0,465,60,60,140,90,75,40,9
2,0,415,65,65,70,70,100,45,0
2,0,430,35,65,105,75,65,85,7
2,0,510,55,65,200,85,75,30,16
2,0,610,55,95,230,125,75,30,16
2,0,300,40,40,50,80,60,30,17
2,0,450,60,60,75,120,90,45,17
2,0,430,55,55,75,95,65,85,3
2,0,500,55,80,100,130,70,65,9
2,0,600,65,100,140,150,70,75,9
2,0,505,10,230,230,10,20,5,9
2,0,500,40,95,75,125,80,85,9
2,0,600,40,105,115,185,80,75,9
2,0,430,35,75,55,95,55,115,15
2,0,330,50,50,50,80,60,40,0
2,0,500,75,75,75,130,90,55,0
2,0,250,70,40,40,40,40,20,2
2,0,410,80,80,120,50,50,30,2
2,0,250,30,30,40,50,50,50,13
2,0,450,60,60,80,100,100,50,13
2,0,380,65,85,85,55,55,35,3
2,0,300,65,35,35,65,35,65,3
2,0,480,105,75,75,105,75,45,3
2,0,330,65,45,45,55,45,75,13
2,0,465,80,140,70,40,65,70,3
2,0,465,40,70,140,80,65,70,16
2,0,330,80,50,30,60,45,65,15
2,0,500,110,80,50,90,75,95,15
2,0,600,140,90,90,90,75,115,15
2,0,540,95,95,95,95,75,85,3
2,0,330,40,40,60,60,90,40,7
2,0,500,60,60,120,120,90,50,7
2,0,515,105,95,90,80,85,60,0
2,0,465,85,65,62,95,73,85,0
2,0,250,20,45,35,20,55,75,0
2,0,210,35,35,35,35,35,35,4
2,0,455,35,110,95,95,50,70,4
2,0,305,85,65,15,30,45,65,13
2,0,360,65,55,37,63,45,95,11
2,0,365,70,55,37,75,45,83,2
2,0,490,40,70,105,80,95,100,0
2,0,540,75,135,10,10,255,55,0
2,1,580,115,100,75,85,90,115,11
2,1,580,90,75,85,115,115,100,2
2,1,580,90,115,115,75,100,85,3
2,0,300,45,50,50,64,50,41,8
2,0,410,65,70,70,84,70,51,8
2,0,600,95,100,110,134,100,61,8
2,0,700,95,120,150,164,100,71,8
2,1,680,90,154,130,90,106,110,12
2,1,680,110,154,90,130,106,90,2
2,0,600,100,100,100,100,100,100,12
3,0,310,65,55,35,45,40,70,1
3,0,405,85,65,45,65,50,95,1
3,0,530,105,85,65,85,70,120,1
3,0,630,145,85,75,110,70,145,1
3,0,310,70,50,40,60,45,45,2
3,0,405,85,60,60,85,60,55,2
3,0,530,110,70,70,120,80,80,2
3,0,630,130,80,80,160,80,100,2
3,0,310,50,50,50,70,50,40,3
3,0,405,60,70,70,85,70,50,3
3,0,535,85,90,90,110,100,60,3
3,0,635,95,110,110,150,100,70,3
3,0,220,30,30,35,55,35,35,15
3,0,420,60,60,70,90,70,70,15
3,0,240,30,41,41,30,38,60,0
3,0,420,50,61,61,70,78,100,0
3,0,195,20,30,35,45,45,20,9
3,0,205,25,25,55,35,50,15,9
3,0,395,100,50,50,70,60,65,9
3,0,205,25,25,55,35,50,15,9
3,0,385,50,90,70,50,60,65,9
3,0,220,40,50,30,30,40,30,3
3,0,340,60,70,50,50,60,50,3
3,0,480,90,100,70,70,80,70,3
3,0,220,30,30,50,40,40,30,1
3,0,340,60,40,40,70,70,60,1
3,0,480,90,60,60,100,90,80,1
3,0,270,30,30,30,55,40,85,0
3,0,430,50,50,60,85,60,125,0
3,0,270,55,30,30,30,40,85,3
3,0,430,85,70,100,50,60,65,3
3,0,198,45,35,25,25,28,40,12
3,0,278,65,55,35,35,38,50,12
3,0,518,125,115,65,65,68,80,12
3,0,618,165,135,65,85,68,100,12
3,0,269,50,52,32,30,40,65,9
3,0,414,80,82,62,60,70,60,9
3,0,295,40,60,60,40,60,35,1
3,0,460,60,60,80,130,60,70,1
3,0,280,35,35,60,60,60,30,0
3,0,440,55,55,80,80,80,90,0
3,0,670,95,65,100,160,150,100,0
3,0,266,30,30,90,45,31,40,9
3,0,456,50,50,45,90,61,160,9
3,0,236,30,30,45,90,1,40,9
3,0,240,51,23,23,51,64,28,0
3,0,360,71,43,43,71,84,48,0
3,0,490,91,73,63,91,104,68,0
3,0,237,20,30,30,60,72,25,4
3,0,474,40,60,60,120,144,50,4
3,0,190,20,40,40,20,50,20,0
3,0,375,45,90,135,45,30,30,8
3,0,260,35,35,45,45,50,50,0
3,0,380,55,55,65,65,70,70,0
3,0,380,65,65,75,75,50,50,15
3,0,480,85,115,125,85,50,20,15
3,0,380,55,55,85,85,50,50,16
3,0,480,55,95,125,105,50,50,16
3,0,330,40,40,100,70,50,30,16
3,0,430,50,50,140,90,60,40,16
3,0,530,60,60,180,110,70,50,16
3,0,630,60,80,230,140,70,50,16
3,0,280,40,55,55,40,30,60,4
3,0,410,60,75,75,60,60,80,4
3,0,510,80,85,85,100,60,100,4
3,0,295,65,40,40,45,40,65,11
3,0,475,105,60,60,75,70,105,11
3,0,575,135,80,80,75,70,135,11
3,0,405,85,75,40,50,60,95,11
3,0,405,75,85,50,40,60,95,11
3,0,400,47,75,55,73,65,85,9
3,0,400,73,75,55,47,65,85,9
3,0,400,100,80,45,60,50,65,1
3,0,302,43,53,53,43,70,40,6
3,0,467,73,83,83,73,100,55,6
3,0,305,65,20,20,90,45,65,3
3,0,460,95,40,40,120,70,95,3
3,0,560,110,65,70,140,70,105,3
3,0,400,70,35,35,70,130,60,3
3,0,500,90,45,45,90,170,60,3
3,0,305,65,45,40,60,60,35,2
3,0,460,105,75,70,100,70,40,2
3,0,560,145,105,100,120,70,20,2
3,0,470,85,70,140,85,70,20,2
3,0,330,70,80,35,25,60,60,12
3,0,470,90,110,65,45,80,80,12
3,0,360,60,60,60,60,60,60,0
3,0,290,45,45,45,100,45,10,7
3,0,340,50,50,50,70,50,70,7
3,0,520,80,80,80,100,80,100,7
3,0,335,85,40,40,85,50,35,1
3,0,475,115,60,60,115,70,55,1
3,0,310,40,75,60,40,45,50,0
3,0,490,70,105,90,70,75,80,14
3,0,590,110,105,110,110,75,80,14
3,0,458,60,60,60,115,73,90,0
3,0,458,100,60,60,100,73,65,6
3,0,440,95,85,65,55,70,70,8
3,0,440,55,65,85,95,70,70,8
3,0,288,46,41,43,48,50,60,3
3,0,468,76,71,73,78,110,60,3
3,0,308,50,35,65,80,43,35,3
3,0,468,90,55,85,120,63,55,3
3,0,300,40,70,55,40,40,55,7
3,0,500,70,120,105,70,60,75,7
3,0,355,61,87,77,41,66,23,8
3,0,495,81,107,97,81,86,43,8
3,0,355,40,50,50,95,45,75,8
3,0,495,70,80,100,125,75,45,8
3,0,200,10,55,20,15,20,80,3
3,0,540,100,125,79,60,95,81,3
3,0,420,70,70,70,70,70,70,0
3,0,440,60,120,70,90,60,40,0
3,0,295,63,33,35,75,44,45,10
3,0,455,83,63,65,115,64,65,10
3,0,555,93,83,75,165,64,75,10
3,0,295,30,90,90,40,20,25,10
3,0,455,60,130,130,70,40,25,10
3,0,460,72,87,83,68,99,51,1
3,0,425,95,80,70,50,65,65,12
3,0,465,75,60,60,130,65,75,15
3,0,565,115,60,60,150,65,115,15
3,0,260,23,48,48,23,95,23,12
3,0,300,50,50,50,50,50,50,13
3,0,480,80,80,80,80,80,80,13
3,0,580,120,80,80,120,80,100,13
3,0,290,55,50,50,40,70,25,13
3,0,410,75,70,70,60,90,45,13
3,0,530,95,90,90,80,110,65,13
3,0,345,74,55,85,64,35,32,3
3,0,485,94,75,105,104,55,52,3
3,0,485,114,75,105,84,55,52,3
3,0,485,45,65,130,90,100,55,3
3,0,330,40,65,55,30,43,97,3
3,0,300,40,30,60,75,45,50,14
3,0,420,60,50,100,95,65,50,14
3,0,600,110,80,80,135,95,100,14
3,0,700,120,90,130,145,95,120,14
3,0,300,35,60,80,55,40,30,16
3,0,420,55,80,100,75,60,50,16
3,0,600,95,90,130,135,80,70,16
3,0,700,105,110,150,145,80,110,16
3,1,580,50,100,200,100,80,50,8
3,1,580,100,200,100,50,80,50,13
3,1,580,75,150,150,75,80,50,16
3,1,600,110,130,90,80,80,110,14
3,1,700,140,150,120,100,80,110,14
3,1,600,130,110,80,90,80,110,14
3,1,700,160,120,100,130,80,110,14
3,1,670,150,140,90,100,100,90,3
3,1,770,180,160,90,150,100,90,3
3,1,670,100,90,140,150,100,90,7
3,1,770,150,90,160,180,100,90,7
3,1,680,150,90,90,150,105,95,14
3,1,780,180,100,100,180,105,115,14
3,1,600,100,100,100,100,100,100,16
3,1,600,150,50,50,150,50,150,12
3,1,600,180,20,20,180,50,150,12
3,1,600,70,160,160,70,50,90,12
3,1,600,95,90,90,95,50,180,12
4,0,318,45,55,64,68,55,31,1
4,0,405,55,65,85,89,75,36,1
4,0,525,75,85,105,109,95,56,1
4,0,309,58,44,44,58,44,61,2
4,0,405,78,52,52,78,64,81,2
4,0,534,104,71,71,104,76,108,2
4,0,314,61,56,53,51,53,40,3
4,0,405,81,76,68,66,64,50,3
4,0,530,111,101,88,86,84,60,3
4,0,245,30,30,30,55,40,60,0
4,0,340,40,40,50,75,55,80,0
4,0,485,50,60,70,120,85,100,0
4,0,250,35,40,40,45,59,31,0
4,0,410,55,60,60,85,79,71,0
4,0,194,25,41,41,25,37,25,9
4,0,384,55,51,51,85,77,65,9
4,0,263,40,34,34,65,45,45,11
4,0,363,60,49,49,85,60,60,11
4,0,523,95,79,79,120,80,70,11
4,0,280,50,70,35,30,40,55,1
4,0,515,125,105,65,70,60,90,1
4,0,350,30,30,40,125,67,58,8
4,0,495,65,50,60,165,97,58,8
4,0,350,42,88,118,42,30,30,8
4,0,495,47,138,168,52,60,30,8
4,0,224,29,45,45,29,40,36,9
4,0,424,79,105,85,59,60,36,9
4,0,424,59,85,105,79,60,36,9
4,0,424,69,95,95,69,60,36,9
4,0,424,94,50,50,94,70,66,9
4,0,244,30,42,42,30,30,70,9
4,0,474,80,102,102,80,70,40,9
4,0,405,45,90,70,45,60,95,11
4,0,330,60,30,35,65,55,85,3
4,0,495,85,50,55,105,85,115,3
4,0,275,62,53,45,35,45,35,1
4,0,450,87,78,70,60,70,85,1
4,0,325,57,62,48,48,76,34,3
4,0,475,92,82,68,83,111,39,3
4,0,482,60,66,66,100,75,115,0
4,0,348,60,44,34,50,90,70,10
4,0,498,90,54,44,80,150,80,10
4,0,350,44,56,44,66,55,85,0
4,0,480,54,96,84,76,65,105,0
4,0,580,54,96,94,136,65,135,0
4,0,495,105,105,60,60,60,105,10
4,0,505,105,52,52,125,100,71,15
4,0,310,42,37,42,55,49,85,0
4,0,452,64,59,64,82,71,112,0
4,0,285,65,50,50,30,45,45,12
4,0,329,41,41,47,63,63,74,6
4,0,479,71,61,67,93,103,84,6
4,0,300,24,86,86,24,57,23,16
4,0,500,79,116,116,89,67,33,16
4,0,290,10,45,95,80,50,10,8
4,0,310,70,90,45,25,20,60,12
4,0,220,15,65,5,5,100,30,0
4,0,411,92,42,45,65,76,91,0
4,0,485,92,108,108,92,50,35,10
4,0,300,40,45,45,70,58,42,14
4,0,410,50,55,65,90,68,82,14
4,0,600,80,85,95,130,108,102,14
4,0,700,120,95,115,170,108,92,14
4,0,390,40,85,40,85,135,5,0
4,0,285,35,40,40,70,40,60,4
4,0,525,115,70,70,110,70,90,4
4,0,625,140,70,88,145,70,112,4
4,0,330,38,42,78,72,68,32,7
4,0,525,68,72,118,112,108,47,7
4,0,330,30,55,90,50,40,65,6
4,0,500,60,75,110,90,70,95,6
4,0,300,61,40,40,61,48,50,6
4,0,490,86,65,65,106,83,85,6
4,0,454,90,72,72,100,74,46,1
4,0,330,49,61,56,49,49,66,3
4,0,460,69,86,76,69,69,91,3
4,0,345,60,120,50,20,45,50,3
4,0,334,62,60,50,62,60,40,1
4,0,494,92,85,75,92,90,60,1
4,0,594,132,105,105,132,90,30,1
4,0,510,45,85,65,120,70,125,15
4,0,535,130,90,115,70,70,60,11
4,0,515,80,95,95,85,110,50,0
4,0,535,55,55,130,140,115,40,7
4,0,535,110,50,125,100,100,50,1
4,0,540,95,85,67,123,75,95,11
4,0,540,125,95,67,95,75,83,2
4,0,545,120,115,95,50,85,80,17
4,0,515,116,56,86,76,86,95,9
4,0,525,60,65,130,110,65,95,1
4,0,525,130,95,110,60,65,65,13
4,0,510,45,75,125,95,75,95,7
4,0,530,70,60,80,130,110,80,13
4,0,535,135,75,70,80,85,90,0
4,0,518,65,115,65,125,68,80,12
4,0,618,65,115,95,165,68,110,12
4,0,525,75,150,145,55,60,40,8
4,0,525,65,135,135,100,45,45,10
4,0,480,80,70,70,80,70,110,13
4,0,440,95,77,77,50,50,91,11
4,0,520,105,107,107,65,50,86,11
4,0,520,105,107,107,65,50,86,11
4,0,520,105,107,107,65,50,86,11
4,0,520,105,107,107,65,50,86,11
4,0,520,105,107,107,65,50,86,11
4,1,580,75,130,130,75,75,95,12
4,1,580,105,105,105,105,80,80,12
4,1,580,125,70,70,125,75,115,12
4,1,680,150,100,120,120,100,90,16
4,1,680,150,120,100,120,90,100,3
4,1,600,130,106,106,90,91,77,2
4,1,670,80,110,110,160,110,100,0
4,1,680,100,120,120,100,150,90,10
4,1,680,120,100,100,120,150,90,10
4,0,600,75,130,120,70,120,85,12
4,0,480,80,80,80,80,80,80,3
4,0,600,100,100,100,100,100,100,3
4,1,600,135,90,90,90,70,125,15
4,1,600,100,100,100,100,100,100,1
4,1,600,120,75,75,103,100,127,1
4,1,720,120,120,120,120,120,120,0
5,1,600,100,100,100,100,100,100,12
5,0,308,45,55,55,45,45,63,1
5,0,413,60,75,75,60,60,83,1
5,0,528,75,95,95,75,75,113,1
5,0,308,45,45,45,63,65,45,2
5,0,418,70,55,55,93,90,55,2
5,0,528,100,65,65,123,110,65,2
5,0,308,63,45,45,55,55,45,3
5,0,413,83,60,60,75,75,60,3
5,0,528,108,70,85,100,95,70,3
5,0,255,35,39,39,55,45,42,0
5,0,420,60,69,69,85,60,77,0
5,0,275,25,45,45,60,45,55,0
5,0,370,35,65,65,80,65,60,0
5,0,500,45,90,90,110,85,80,0
5,0,281,50,37,37,50,41,66,15
5,0,446,88,50,50,88,64,106,15
5,0,316,53,48,48,53,50,64,1
5,0,498,98,63,63,98,75,101,1
5,0,316,53,48,48,53,50,64,2
5,0,498,98,63,63,98,75,101,2
5,0,316,53,48,48,53,50,64,3
5,0,498,98,63,63,98,75,101,3
5,0,292,67,55,45,25,76,24,12
5,0,487,107,95,85,55,116,29,12
5,0,264,36,30,50,55,50,43,0
5,0,358,50,42,62,77,62,65,0
5,0,488,65,55,80,115,80,93,0
5,0,295,50,32,32,60,45,76,11
5,0,497,80,63,63,100,75,116,11
5,0,280,25,25,85,75,55,15,8
5,0,390,50,40,105,105,70,20,8
5,0,515,60,80,130,135,85,25,8
5,0,313,55,43,43,45,55,72,12
5,0,425,77,55,55,57,67,114,12
5,0,328,30,45,40,85,60,68,7
5,0,508,50,65,60,135,110,88,7
5,0,445,60,86,86,60,103,50,0
5,0,545,80,126,126,60,103,50,0
5,0,305,25,35,55,80,75,35,4
5,0,405,40,50,85,105,85,40,4
5,0,505,55,65,95,140,105,45,4
5,0,294,50,40,40,50,50,64,3
5,0,384,65,55,55,65,75,69,3
5,0,509,85,75,75,95,105,74,3
5,0,465,30,85,85,100,120,45,4
5,0,465,30,75,75,125,75,85,4
5,0,310,40,60,70,53,45,42,9
5,0,380,50,80,90,63,55,42,9
5,0,500,70,80,80,103,75,92,9
5,0,260,30,39,59,45,30,57,9
5,0,360,40,79,99,55,40,47,9
5,0,485,55,69,89,100,60,112,9
5,0,280,37,50,60,27,40,66,1
5,0,480,77,75,85,67,60,116,1
5,0,280,70,50,50,35,45,30,1
5,0,480,110,75,75,60,70,90,1
5,0,460,80,55,65,92,70,98,3
5,0,292,35,35,35,72,50,65,7
5,0,351,45,45,45,82,60,74,7
5,0,519,65,70,80,117,95,92,7
5,0,315,15,45,45,90,70,50,2
5,0,480,30,55,55,140,105,95,2
5,0,540,140,105,105,30,105,55,2
5,0,461,106,67,67,86,75,60,1
5,0,325,35,35,85,65,50,55,9
5,0,475,65,75,125,95,70,45,9
5,0,348,35,70,70,75,50,48,15
5,0,488,45,115,115,90,65,58,15
5,0,490,103,80,80,58,72,97,12
5,0,303,55,65,85,30,38,30,10
5,0,483,95,105,145,50,58,30,10
5,0,355,53,45,103,78,54,22,3
5,0,495,83,65,133,108,74,32,3
5,0,401,74,45,45,112,55,70,8
5,0,567,112,65,65,140,75,110,8
5,0,329,40,62,62,50,50,65,6
5,0,474,60,82,82,95,80,75,6
5,0,330,80,40,40,65,40,65,15
5,0,510,120,60,60,105,60,105,15
5,0,300,40,40,40,50,55,75,0
5,0,470,65,60,60,95,75,115,0
5,0,290,55,65,50,30,45,45,12
5,0,390,75,85,70,45,60,55,12
5,0,490,95,110,95,55,70,65,12
5,0,290,105,50,40,30,45,20,12
5,0,370,125,60,50,40,65,30,12
5,0,490,125,85,75,65,110,30,12
5,0,305,44,50,50,44,62,55,3
5,0,473,87,63,63,87,75,98,3
5,0,305,65,60,50,50,36,44,13
5,0,395,80,75,65,65,51,59,13
5,0,535,110,95,85,95,71,79,13
5,0,335,40,50,50,60,60,75,0
5,0,475,60,70,70,100,80,95,0
5,0,428,75,60,60,75,55,103,11
5,0,315,40,45,45,75,50,60,9
5,0,495,60,105,105,135,70,20,9
5,0,294,55,55,45,55,69,15,1
5,0,464,85,80,70,85,114,30,1
5,0,335,65,85,50,40,55,40,3
5,0,480,85,105,70,60,100,60,3
5,0,470,40,45,80,75,165,65,3
5,0,319,57,50,50,47,50,65,9
5,0,472,97,60,60,77,70,108,9
5,0,305,24,86,91,50,44,10,1
5,0,489,54,116,131,94,74,20,1
5,0,300,45,60,70,55,40,30,16
5,0,440,70,85,95,80,60,50,16
5,0,520,70,85,115,100,60,90,16
5,0,275,45,40,40,55,35,60,11
5,0,405,75,70,70,85,65,40,11
5,0,515,105,80,80,115,85,50,11
5,0,335,85,55,55,55,55,30,12
5,0,485,125,95,75,75,75,40,12
5,0,275,65,55,55,30,50,20,10
5,0,370,95,60,60,40,60,55,10
5,0,520,145,90,90,55,60,80,10
5,0,320,30,40,60,87,46,57,14
5,0,410,40,50,70,117,66,67,14
5,0,540,60,70,90,147,76,97,14
5,0,305,60,40,40,70,55,40,13
5,0,485,70,80,80,110,95,50,13
5,0,485,95,135,30,50,70,105,13
5,0,305,40,65,85,40,50,25,9
5,0,495,100,60,40,70,80,145,9
5,0,471,81,99,84,66,109,32,7
5,0,350,55,50,50,85,45,65,4
5,0,510,95,60,60,125,65,105,4
5,0,485,60,90,90,120,77,48,14
5,0,303,35,50,50,74,59,35,7
5,0,483,55,80,80,124,89,55,7
5,0,340,40,40,70,85,45,60,15
5,0,490,60,70,100,125,65,70,15
5,0,490,40,95,95,110,95,55,0
5,0,350,37,50,50,83,70,60,0
5,0,510,57,75,75,123,100,80,0
5,0,370,45,65,75,55,70,60,15
5,0,510,55,95,105,65,110,80,15
5,0,484,105,66,66,97,85,65,2
5,0,484,48,48,112,109,58,109,9
5,0,300,45,50,50,65,52,38,15
5,0,420,65,70,70,85,72,58,15
5,0,600,125,90,90,105,92,98,15
5,0,360,50,55,55,85,55,60,9
5,0,550,135,105,65,60,85,100,9
5,1,580,90,72,129,90,91,108,16
5,1,580,72,90,90,129,91,108,8
5,1,580,90,129,72,90,91,108,1
